policy,avg_score,avg_reward,avg_sla,phase
heuristic,0.7816666666666666,44.571333333333335,1.0,before
model,0.2986666666666667,22.875333333333334,0.0,before
round_robin,0.4686666666666666,33.709666666666664,0.0,before
heuristic,0.7816666666666666,44.571333333333335,1.0,after
model,0.302,24.691000000000003,0.0,after
round_robin,0.4686666666666666,33.709666666666664,0.0,after
